"Date","Air Temperature"
"01/01/2015",35.4559621629253
"01/01/2016",36.198834304246
"01/01/2017",35.7202356949176
"01/01/2018",38.3531909897373
"01/02/2015",38.0712807079646
"01/02/2016",35.4170466388744
"01/02/2017",33.9247798873357
"01/02/2018",40.2027608039461
"01/03/2015",40.1390204254718
"01/03/2016",36.6112502021019
"01/03/2017",30.8249607198013
"01/03/2018",30.8705091813593
"01/04/2015",43.363741693765
"01/04/2016",37.7177396148528
"01/04/2017",31.7104544248375
"01/04/2018",28.57003125
"01/05/2015",51.994879458292
"01/05/2016",40.7418564367038
"01/05/2017",31.4946974868135
"01/05/2018",45.6280836454432
"01/06/2015",49.6099271993148
"01/06/2016",43.5665708816652
"01/06/2017",32.1918381240545
"01/06/2018",44.7716792890263
"01/07/2015",46.1331243291027
"01/07/2016",41.2086830001156
"01/07/2017",33.8359548140424
"01/07/2018",43.8172709537572
"01/08/2015",43.4450639694554
"01/08/2016",42.5887699020564
"01/08/2017",38.0511692691152
"01/08/2018",45.6070540662821
"01/09/2015",43.5221042422726
"01/09/2016",40.4879561599351
"01/09/2017",39.7051997840173
"01/09/2018",44.9642687417495
"01/10/2015",45.4906973995272
"01/10/2016",42.6932293577982
"01/10/2017",36.8926372912199
"01/10/2018",43.6453792185799
"01/11/2015",46.9317327285415
"01/11/2016",40.8541858202602
"01/11/2017",32.8416014052551
"01/11/2018",45.645266465921
"01/12/2015",46.7658600967884
"01/12/2016",45.1934484091445
"01/12/2017",32.6240887265842
"01/12/2018",47.4231369122607
"01/13/2015",43.5977946493131
"01/13/2016",46.6346777331085
"01/13/2017",33.5159131757224
"01/13/2018",47.7523387037982
"01/14/2015",42.9782211628693
"01/14/2016",43.356606726917
"01/14/2017",35.3009826147427
"01/14/2018",46.055373346289
"01/15/2015",42.4354059749597
"01/15/2016",42.8859682236852
"01/15/2017",35.7903152400835
"01/15/2018",47.5686732748761
"01/16/2015",47.583984496124
"01/16/2016",47.4929804296645
"01/16/2017",39.5306272608884
"01/16/2018",48.3960729044594
"01/17/2015",45.1307826675694
"01/17/2016",46.3198968172077
"01/17/2017",43.2140256685929
"01/17/2018",47.6774554623433
"01/18/2015",49.3530706540996
"01/18/2016",47.5475988455988
"01/18/2017",46.3479450305759
"01/18/2018",45.1143318477387
"01/19/2015",47.0569023083265
"01/19/2016",45.3548035533134
"01/19/2017",45.968506377551
"01/19/2018",44.2374108595538
"01/20/2015",45.3108937656409
"01/20/2016",47.1383128278493
"01/20/2017",45.1467487883683
"01/20/2018",43.7087229594619
"01/21/2015",42.2662223268959
"01/21/2016",47.3541322353617
"01/21/2017",45.8575297720313
"01/21/2018",45.5146135543787
"01/22/2015",46.4714927695999
"01/22/2016",50.0252266563348
"01/22/2017",43.733380173913
"01/22/2018",43.9819191192039
"01/23/2015",50.2787332263242
"01/23/2016",46.0563148102208
"01/23/2017",41.505477248954
"01/23/2018",43.1718678481988
"01/24/2015",54.4414943181818
"01/24/2016",45.9941609500202
"01/24/2017",39.7475580431177
"01/24/2018",44.9561636406508
"01/25/2015",54.0724889396318
"01/25/2016",45.3532812848539
"01/25/2017",41.7941547451138
"01/25/2018",42.2069566310497
"01/26/2015",53.0321349187091
"01/26/2016",49.3043866072023
"01/26/2017",44.5451718463194
"01/26/2018",41.6159446437724
"01/27/2015",50.7897567839196
"01/27/2016",52.1998648122392
"01/27/2017",45.8076789716546
"01/27/2018",43.8642649420915
"01/28/2015",47.7318049304885
"01/28/2016",51.4776226001097
"01/28/2017",45.7891065378976
"01/28/2018",46.3944536949618
"01/29/2015",45.8789382280875
"01/29/2016",46.3662312221308
"01/29/2017",44.973722786184
"01/29/2018",46.8033297302609
"01/30/2015",43.1281621760658
"01/30/2016",43.6703674140157
"01/30/2017",44.6141554959786
"01/30/2018",44.3429381706694
"01/31/2015",43.1457434628975
"01/31/2016",42.9326090871879
"01/31/2017",41.4749891429301
"01/31/2018",43.7430338654012
"02/01/2015",45.9768780866375
"02/01/2016",44.1516034610069
"02/01/2017",38.7132254125803
"02/01/2018",44.9318133367443
"02/02/2015",47.9643270802013
"02/02/2016",44.0311878908189
"02/02/2017",38.4364509478266
"02/02/2018",47.5065951622814
"02/03/2015",48.1898625683464
"02/03/2016",44.3961611448736
"02/03/2017",38.0128760909903
"02/03/2018",47.419908568443
"02/04/2015",46.7513529304364
"02/04/2016",46.3619646631361
"02/04/2017",42.3702873043478
"02/04/2018",48.5417800203528
"02/05/2015",51.3779402157165
"02/05/2016",47.4104125794023
"02/05/2017",38.0263620157696
"02/05/2018",48.6262905937528
"02/06/2015",53.6706466745843
"02/06/2016",45.1767340374841
"02/06/2017",34.8218936495792
"02/06/2018",46.3459244442194
"02/07/2015",51.8562765667575
"02/07/2016",43.7757312121965
"02/07/2017",36.4513802186224
"02/07/2018",47.9181801016703
"02/08/2015",52.3976357267951
"02/08/2016",46.9480391669398
"02/08/2017",37.8507253384913
"02/08/2018",48.0450474890182
"02/09/2015",52.1075605259924
"02/09/2016",48.9204033088624
"02/09/2017",47.0168497148163
"02/09/2018",45.5850436762575
"02/10/2015",52.2237562400425
"02/10/2016",50.679525565851
"02/10/2017",44.302004835924
"02/10/2018",41.7998843045063
"02/11/2015",50.0248271018661
"02/11/2016",49.9392168314555
"02/11/2017",42.8796079249218
"02/11/2018",41.2335207047402
"02/12/2015",54.4560937005381
"02/12/2016",52.5250606104623
"02/12/2017",42.0587431313904
"02/12/2018",41.9545719184607
"02/13/2015",53.405945963976
"02/13/2016",47.1304869653436
"02/13/2017",44.0188750380055
